Country,Movies,,,,C,Region,Population,,,,,
Germany,1302,"$31,199,867","$10,178,085,565",,Germany ,WESTERN EUROPE                     ,82422299,,,,,
Ghana,7,$0,"$406,799",,Ghana ,SUB-SAHARAN AFRICA                 ,22409572,,,,,
Greece,69,"$2,607,667","$72,551,065",,Greece ,WESTERN EUROPE                     ,10688058,,,,,
Greenland,3,"$21,000,000","$46,084,208",,Greenland ,NORTHERN AMERICA                   ,56361,,,,,
Guatemala,7,$0,"$1,036,627",,Guatemala ,LATIN AMER. & CARIB    ,12293545,,,,,
Haiti,6,$0,"$41,873",,Haiti ,LATIN AMER. & CARIB    ,8308504,,,,,
Honduras,1,$0,$0,,Honduras ,LATIN AMER. & CARIB    ,7326496,,,,,
Hong Kong,368,"$24,750,000","$6,533,345,895",,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,,,,,
Hungary,83,"$36,677,000","$517,346,745",,Hungary ,EASTERN EUROPE                     ,9981334,,,,,
Iceland,54,"$22,950,000","$93,169,121",,Iceland ,WESTERN EUROPE                     ,299388,,,,,
India,1692,"$14,424,796","$7,350,910,428",,India ,ASIA (EX. NEAR EAST)         ,1095351995,,,,,
Indonesia,30,"$950,000","$16,580,343",,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,,,,,
Iran,74,"$3,484,286","$79,775,569","1,380,004,385",Iran ,ASIA (EX. NEAR EAST)         ,68688433,,,,,
Iraq,10,$0,"$297,967","273,523,615",Iraq ,NEAR EAST                          ,26783383,,,,,
Ireland,279,"$18,673,643","$1,238,189,962",,Ireland ,WESTERN EUROPE                     ,4062235,,,,,
Isle of Man,2,$0,"$71,190",,Isle of Man ,WESTERN EUROPE                     ,75441,,,,,
Israel,189,"$1,541,667","$124,850,637",,Israel ,NEAR EAST                          ,6352117,,,,,
Italy,1211,"$16,391,000","$4,201,103,485",,Italy ,WESTERN EUROPE                     ,58133509,,,,,
Jamaica,6,"$750,000","$69,280",,Jamaica ,LATIN AMER. & CARIB    ,2758124,,,,,
Japan,1250,"$28,843,556","$13,407,006,789",,Japan ,ASIA (EX. NEAR EAST)         ,127463611,,,,,
Jordan,5,"$5,000,000","$733,735",,Jordan ,NEAR EAST                          ,5906760,,,,,
Kazakhstan,20,"$29,000,000","$28,689,227",,Kazakhstan ,C.W. OF IND. STATES ,15233244,,,,,
Kenya,11,"$15,000","$4,069,787",,Kenya ,SUB-SAHARAN AFRICA                 ,34707817,,,,,
Kiribati,1,$0,$0,,Kiribati ,OCEANIA                            ,105432,,,,,
Kosovo,7,$0,"$2,923,746",,Kosovo,,"1,810,366",,,,,
Kuwait,2,"$80,000,000","$96,763,308",,Kuwait ,NEAR EAST                          ,2418393,,,,,
Kyrgyzstan,4,"$1,400,000","$1,238",,Kyrgyzstan ,C.W. OF IND. STATES ,5213898,,,,,
Laos,3,$0,"$856,821",,Laos ,ASIA (EX. NEAR EAST)         ,6368481,,,,,
Latvia,32,$0,"$47,574,734",,Latvia ,BALTICS                            ,2274735,,,,,
Lebanon,26,"$4,625,000","$86,860,876",,Lebanon ,NEAR EAST                          ,3874050,,,,,
Lesotho,2,$0,"$3,355",,Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,,,,,
Liberia,1,$0,$0,,Liberia ,SUB-SAHARAN AFRICA                 ,3042004,,,,,
Libya,2,"$35,000,000","$1,509,571",,Libya ,NORTHERN AFRICA                    ,5900754,,,,,
Liechtenstein,4,$0,$0,,Liechtenstein ,WESTERN EUROPE                     ,33987,,,,,
Lithuania,88,"$500,000","$24,406,899",,Lithuania ,BALTICS                            ,3585906,,,,,
Luxembourg,75,"$22,125,000","$247,546,989",,Luxembourg ,WESTERN EUROPE                     ,474413,,,,,
Macao,2,$0,"$25,021",,Macau ,ASIA (EX. NEAR EAST)         ,453125,,,,,
Macedonia,30,"$5,000,000","$45,108,744",,Macedonia ,EASTERN EUROPE                     ,2050554,,,,,
Malaysia,23,"$25,000,000","$51,911,824",,Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,,,,,
Maldives,2,$0,"$993,251",,Maldives ,ASIA (EX. NEAR EAST)         ,359008,,,,,
Mali,2,$0,"$1,939",,Mali ,SUB-SAHARAN AFRICA                 ,11716829,,,,,
Malta,9,"$77,500,000","$500,098,538",,Malta ,WESTERN EUROPE                     ,400214,,,,,
Mauritania,2,$0,"$6,817,760",,Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,,,,,
Mauritius,1,$0,"$133,899",,Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,,,,,
Mexico,399,"$11,964,516","$1,806,019,947",,Mexico ,LATIN AMER. & CARIB    ,107449525,,,,,
Monaco,6,"$28,000,000","$5,739,161",,Monaco ,WESTERN EUROPE                     ,32543,,,,,
Mongolia,9,"$30,000,000","$14,559,458",,Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,,,,,
Montenegro,3,$0,"$7,795,158",,Montenegro,LATIN AMER. & CARIB    ,"628,066",,,,,
Morocco,27,"$36,225,000","$228,279,963",,Morocco ,NORTHERN AFRICA                    ,33241259,,,,,
Mozambique,2,$0,"$2,468",,Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,,,,,
Myanmar,3,$0,"$1,624,569",,Myanmar,,"54,409,800",,,,,
Namibia,4,"$75,000,000","$34,034,218",,Namibia ,SUB-SAHARAN AFRICA                 ,2044147,,,,,
Nepal,14,$0,"$1,324,298",,Nepal ,ASIA (EX. NEAR EAST)         ,28287147,,,,,
Netherlands,380,"$24,887,500","$1,180,510,878",,Netherlands ,WESTERN EUROPE                     ,16491461,,,,,
Netherlands Antilles,1,$0,"$179,987",,Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,,,,,
New Zealand,178,"$62,630,714","$7,323,674,963",,New Zealand ,OCEANIA                            ,4076140,,,,,
Nicaragua,4,$0,$0,,Nicaragua ,LATIN AMER. & CARIB    ,5570129,,,,,
Nigeria,25,"$3,800,000","$809,354",,Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,,,,,
North Korea,3,$0,"$6,143,147",,North Korea,,23113019,,,,,
Northern Ireland,3,$0,"$1,739,042",,Northern Ireland,OCEANIA                            ,"1,897,893",,,,,
Norway,150,"$5,137,500","$200,151,997","206,139,589",Norway ,WESTERN EUROPE                     ,4610820,,,,,
Oman,1,$0,$0,,Oman ,NEAR EAST                          ,3102229,,,,,
Pakistan,51,"$1,100,000","$9,118,108",,Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,,,,,
Palau,1,$0,"$443,291",,Palau ,OCEANIA                            ,20579,,,,,
Panama,9,"$36,000,000","$305,439,992",,Panama ,LATIN AMER. & CARIB    ,3191319,,,,,
Papua New Guinea,3,$0,"$2,287,136","220,892,340",Papua New Guinea ,OCEANIA                            ,5670544,,,,,
Paraguay,13,"$135,000,000","$165,740,253",,Paraguay ,LATIN AMER. & CARIB    ,6506464,,,,,
Peru,34,"$1,200,000","$85,776,605",,Peru ,LATIN AMER. & CARIB    ,28302603,,,,,
Philippines,118,$0,"$125,734,440",,Philippines ,ASIA (EX. NEAR EAST)         ,89468677,,,,,
Poland,238,"$7,121,000","$571,288,438",,Poland ,EASTERN EUROPE                     ,38536869,,,,,
Portugal,216,"$800,000","$56,780,272",,Portugal ,WESTERN EUROPE                     ,10605870,,,,,
Puerto Rico,19,"$1,000,000","$4,650,207",,Puerto Rico ,LATIN AMER. & CARIB    ,3927188,,,,,
Qatar,38,"$12,000,000","$10,803,969",,Qatar ,NEAR EAST                          ,885359,,,,,
Republic of Moldova,2,$0,$0,,Republic of Moldova,,4466706,,,,,
Romania,102,"$11,443,667","$208,423,615",,Romania ,EASTERN EUROPE                     ,22303552,,,,,
Russia,769,"$13,572,310","$2,089,760,960",,Russia ,C.W. OF IND. STATES ,142893540,,,,,
Rwanda,3,$0,"$51,992",,Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,,,,,
Samoa,1,$0,"$4,289",,Samoa ,OCEANIA                            ,176908,,,,,
Saudi Arabia,6,"$30,000,000","$16,354,528",,Saudi Arabia ,NEAR EAST                          ,27019731,,,,,
Senegal,13,$0,"$6,531,944",,Senegal ,SUB-SAHARAN AFRICA                 ,11987121,,,,,
Serbia,28,$0,"$15,151,604",,Serbia ,EASTERN EUROPE                     ,9396411,,,,,
Singapore,29,$0,"$43,473,289",,Singapore ,ASIA (EX. NEAR EAST)         ,4492150,,,,,
Slovakia,103,"$36,000,000","$162,756,938",,Slovakia ,EASTERN EUROPE                     ,5439448,,,,,
Slovenia,38,"$780,000","$5,724,620",,Slovenia ,EASTERN EUROPE                     ,2010347,,,,,
Solomon Islands,1,,,,Solomon Islands ,OCEANIA                            ,552438,,,,,
Somalia,2,$0,"$26,421",,Somalia ,SUB-SAHARAN AFRICA                 ,8863338,,,,,
South Africa,132,"$18,395,526","$607,384,807",,South Africa ,SUB-SAHARAN AFRICA                 ,44187637,,,,,
South Korea,966,"$17,373,000","$8,173,696,614",,South Korea,,48846823,,,,,
Spain,1071,"$24,303,769","$3,974,791,329",,Spain ,WESTERN EUROPE                     ,40397842,,,,,
Sri Lanka,3,$0,"$352,824",,Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,,,,,
Sudan,3,$0,"$32,134",,Sudan ,SUB-SAHARAN AFRICA                 ,41236378,,,,,
Sweden,223,"$16,142,857","$1,177,241,212",,Sweden ,WESTERN EUROPE                     ,9016596,,,,,
Switzerland,186,"$23,051,000","$684,149,309",,Switzerland ,WESTERN EUROPE                     ,7523934,,,,,
Syrian Arab Republic,8,$0,"$212,908",,Syria ,NEAR EAST                          ,18881361,,,,,
Taiwan,116,"$13,883,333","$747,057,658",,Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,,,,,
Tajikistan,2,$0,"$1,776,779",,Tajikistan ,C.W. OF IND. STATES ,7320815,,,,,
Thailand,100,"$7,014,286","$220,385,001",,Thailand ,ASIA (EX. NEAR EAST)         ,64631595,,,,,
Trinidad and Tobago,3,$0,$0,,Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,,,,,
Tunisia,16,"$35,000,000","$248,688,660",,Tunisia ,NORTHERN AFRICA                    ,10175014,,,,,
Turkey,808,"$10,733,333","$934,002,232",,Turkey ,NEAR EAST                          ,70413958,,,,,
Uganda,4,$0,"$16,942",,Uganda ,SUB-SAHARAN AFRICA                 ,28195754,,,,,
Ukraine,44,"$26,000,000","$98,797,026",,Ukraine ,C.W. OF IND. STATES ,46710816,,,,,
United Arab Emirates,34,"$32,187,500","$539,131,971",,United Arab Emirates ,NEAR EAST                          ,2602713,,,,,
United Kingdom,3348,"$30,312,115","$51,433,746,884",,United Kingdom ,WESTERN EUROPE                     ,60609153,,,,,
United Republic of Tanzania,7,"$800,000","$27,694",,United Republic of Tanzania,,37445392,,,,,
United States of America,19570,"$36,594,222","$581,770,305,544",,United States ,NORTHERN AMERICA                   ,298444215,,,,,
Uruguay,40,"$135,000,000","$168,994,088",,Uruguay ,LATIN AMER. & CARIB    ,3431932,,,,,
USSR,6,"$25,000,000","$3,008,785",,USSR,,142893540,,,,,
Uzbekistan,1,$0,"$3,024","331,002,651",Uzbekistan ,C.W. OF IND. STATES ,27307134,,,,,
Vanuatu,2,$0,"$574,050",,Vanuatu ,OCEANIA                            ,208869,,,,,
Venezuela,25,"$1,400,000","$54,144,060",,Venezuela ,LATIN AMER. & CARIB    ,25730435,,,,,
Vietnam,22,$0,"$8,388,647",,Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,,,,,
Yemen,3,$0,"$2,466,867",,Yemen ,NEAR EAST                          ,21456188,,,,,
Zimbabwe,1,$0,"$25,038",,Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,,,,,
